address,price,image
Braak 10,€ 250.000 k.k.,https://www.pitmakelaars.com/wp-content/uploads/2025/02/215984247-720x535.jpg
Middelberg 81,€ 500.000 k.k.,https://www.pitmakelaars.com/wp-content/uploads/2025/01/213206621-720x535.jpg
Nicolaas Beetslaan 23,€ 400.000 k.k.,https://www.pitmakelaars.com/wp-content/uploads/2025/02/216433717-720x535.jpg
Wal 10,€ 475.000 k.k.,https://www.pitmakelaars.com/wp-content/uploads/2025/02/215371203-720x535.jpg
